UMAP_1;UMAP_2;Ident
-15,46808337;11,71984658;Ookinete
7,085335264;-11,37243667;Ookinete
7,066522131;-11,33592239;Ookinete
7,000903616;-11,24341693;Ookinete
7,570268164;-11,33549133;Ookinete
7,139452944;-11,26190486;Ookinete
-5,131626119;10,77957902;Ookinete
-13,88518428;11,63294682;Ookinete
-15,43434905;11,6903418;Ookinete
6,976686487;-11,18213478;Ookinete
-15,248147;11,66169247;Ookinete
0,071067708;-8,005717425;Ookinete
-14,03583144;11,41623768;Ookinete
-14,0520172;11,57998833;Ookinete
7,221675882;-11,32318035;Ookinete
7,033447275;-11,25811878;Ookinete
7,126420031;-11,36318698;Ookinete
-13,77479362;11,55359635;Ookinete
7,176346789;-11,29080787;Ookinete
7,007460604;-11,18366924;Ookinete
-13,88676929;11,52971634;Ookinete
6,875952253;-11,41774764;Ookinete
-13,79799937;11,55055127;Ookinete
-15,53581332;11,74373707;Ookinete
-5,158202162;10,83705124;Ookinete
-13,85648631;11,5527018;Ookinete
6,956659327;-11,18356338;Ookinete
-5,204874029;10,89539132;Ookinete
-5,026583662;10,71470627;Ookinete
-5,10551404;10,83454022;Ookinete
6,970576773;-11,12208381;Ookinete
7,41877986;-11,35359302;Ookinete
7,4145856;-11,32403865;Ookinete
7,585224638;-11,3328096;Ookinete
6,931873808;-11,13896957;Ookinete
-13,81814765;11,69384274;Ookinete
-13,85855006;11,67939362;Ookinete
7,210333357;-11,32411399;Ookinete
-14,02326488;11,45801243;Ookinete
7,92738677;-11,31904617;Ookinete
-5,043535223;10,72524724;Ookinete
-13,74318789;11,56592831;Ookinete
11,84720136;-9,14159408;Oocyst
12,03955937;-7,480866579;Oocyst
11,8316393;-8,562849192;Oocyst
11,82867909;-9,284361987;Oocyst
12,01770593;-8,763417391;Oocyst
11,86568166;-8,213488726;Oocyst
9,944613466;-10,68674007;Ookinete
11,629735;-7,909274248;Oocyst
11,94347001;-6,764236121;Oocyst
11,77204801;-7,330002932;Oocyst
10,08448983;-10,74766841;Ookinete
10,72278882;-6,654617457;Oocyst
12,01748754;-7,111134676;Oocyst
12,13218595;-6,910393385;Oocyst
12,00176145;-6,591284899;Oocyst
12,00363637;-8,252636103;Oocyst
11,64169122;-6,308485178;Oocyst
11,70765019;-7,053328661;Oocyst
11,08769227;-7,254316477;Oocyst
9,763872156;-6,221380381;Oocyst
11,24220372;-7,288858561;Oocyst
11,8867159;-6,438717512;Oocyst
11,90255834;-9,113179354;Oocyst
8,92388917;-11,20323291;Ookinete
11,00271894;-6,167833475;Oocyst
10,70472432;-10,24923053;Oocyst
10,67724134;-6,513789801;Oocyst
10,32567884;-6,516457228;Oocyst
11,39945603;-9,704459338;Oocyst
8,731085787;-11,23860088;Ookinete
11,91706849;-7,357284693;Oocyst
11,40309239;-6,403010039;Oocyst
10,51835347;-6,66837707;Oocyst
9,937148104;-6,483714251;Oocyst
8,899422655;-11,19261756;Ookinete
11,11873914;-7,219481615;Oocyst
9,88198472;-10,7367641;Ookinete
9,955166826;-10,7081348;Ookinete
11,57514287;-9,57469192;Oocyst
10,4704485;-6,60784593;Oocyst
10,79253198;-6,949240832;Oocyst
10,87924958;-10,11841026;Oocyst
10,66464616;-6,726627974;Oocyst
11,14438249;-9,920028834;Oocyst
11,94774056;-6,620449213;Oocyst
8,585843096;-11,30854717;Ookinete
9,055147181;-11,12035289;Ookinete
8,733030329;-11,35446277;Ookinete
8,890443812;-11,20321765;Ookinete
9,29564477;-11,02760139;Ookinete
10,83632756;-6,256716875;Oocyst
11,52176953;-6,033563761;Oocyst
9,593971262;-10,92167011;Ookinete
10,9526043;-10,08677211;Oocyst
10,54420758;-6,536506323;Oocyst
10,98696328;-7,030291705;Oocyst
10,42382337;-10,44108215;Oocyst
8,71308137;-11,27990737;Ookinete
11,72712232;-9,35398498;Oocyst
11,79312039;-8,306159167;Oocyst
11,95280648;-8,752881197;Oocyst
11,43085958;-6,015182165;Oocyst
10,95115663;-7,134159235;Oocyst
10,41510964;-6,533182291;Oocyst
9,165555964;-6,269642023;Oocyst
8,810746203;-11,24411121;Ookinete
11,84330178;-6,893984942;Oocyst
11,93807698;-5,926844267;Oocyst
11,83953763;-7,421172289;Oocyst
11,86140729;-8,254602579;Oocyst
11,61139012;-8,354526667;Oocyst
8,668013582;-11,33921066;Ookinete
10,42527677;-6,579066424;Oocyst
11,6444893;-7,393162875;Oocyst
12,14153386;-6,581360487;Oocyst
12,00599195;-8,68056312;Oocyst
12,05572892;-6,561877875;Oocyst
12,2705412;-6,765246062;Oocyst
11,82543183;-6,101251749;Oocyst
8,725421915;-11,32665935;Ookinete
11,71413995;-8,114658503;Oocyst
11,85168839;-7,612677721;Oocyst
9,397809992;-11,00844493;Ookinete
11,82415868;-8,368924288;Oocyst
12,2940054;-6,626762537;Oocyst
9,706542978;-10,88191047;Ookinete
9,59966279;-10,89079872;Ookinete
12,01332093;-7,333199648;Oocyst
12,03116227;-6,742484717;Oocyst
8,752573023;-11,28252807;Ookinete
8,68180562;-11,31304851;Ookinete
9,794046412;-10,83008209;Ookinete
11,21063424;-9,751429705;Oocyst
12,06429673;-6,952328829;Oocyst
11,0950842;-9,964316515;Oocyst
12,25273992;-6,60010734;Oocyst
11,78582955;-6,087085871;Oocyst
11,74689294;-9,370978503;Oocyst
12,01145936;-8,493122248;Oocyst
11,85212804;-7,342775492;Oocyst
11,83449174;-8,211520342;Oocyst
11,77793313;-7,581339983;Oocyst
11,17032052;-9,915550379;Oocyst
11,67880727;-9,462272791;Oocyst
12,26567937;-6,794207243;Oocyst
11,86846448;-7,627061991;Oocyst
11,60009862;-9,511973528;Oocyst
11,90811063;-6,237210421;Oocyst
8,856075297;-11,20012203;Ookinete
10,58095265;-6,428183703;Oocyst
11,67921067;-6,089318423;Oocyst
11,04908563;-10,00808921;Oocyst
12,06483174;-7,863761095;Oocyst
9,652873049;-10,8882896;Ookinete
11,91432;-5,965635447;Oocyst
11,82664109;-9,346303133;Oocyst
11,47174264;-9,639747767;Oocyst
8,548019419;-11,35045352;Ookinete
10,86712838;-6,739264635;Oocyst
9,84667016;-10,77364078;Ookinete
9,702490816;-10,89089218;Ookinete
12,05223371;-6,045051245;Oocyst
11,69417859;-6,016639857;Oocyst
12,07785417;-7,090901522;Oocyst
11,52803231;-7,601071505;Oocyst
11,68844129;-6,173617033;Oocyst
11,87464143;-5,977000384;Oocyst
11,85387326;-9,257644801;Oocyst
11,71956159;-7,847146181;Oocyst
11,22430326;-9,86558166;Oocyst
11,98665811;-6,056969313;Oocyst
12,10080625;-6,641176848;Oocyst
10,27661038;-10,59809699;Ookinete
11,59339238;-7,884062914;Oocyst
11,59815885;-6,163991122;Oocyst
11,95263196;-6,838268427;Oocyst
10,3746071;-10,4919025;Ookinete
12,01391793;-7,23073688;Oocyst
9,802280436;-10,78277793;Ookinete
12,11639405;-6,819609312;Oocyst
11,5995102;-7,79936233;Oocyst
11,01767827;-10,02733436;Oocyst
11,65561677;-8,11196628;Oocyst
11,94183255;-6,033563284;Oocyst
11,79783631;-6,067795901;Oocyst
11,93059731;-7,638898043;Oocyst
11,80443288;-8,334418444;Oocyst
11,71872808;-6,917536406;Oocyst
11,56969834;-9,551117091;Oocyst
11,11357213;-6,147709517;Oocyst
11,71778871;-8,47838035;Oocyst
11,78493501;-8,255680231;Oocyst
12,04445172;-6,881549982;Oocyst
11,85580255;-9,25613418;Oocyst
11,95946504;-7,613499789;Oocyst
10,21116162;-10,56847682;Ookinete
11,51260758;-6,004113821;Oocyst
11,87651158;-9,343987612;Oocyst
10,22964002;-10,57054248;Ookinete
12,19421197;-7,129199175;Oocyst
12,07019712;-6,298567919;Oocyst
11,74111081;-8,016535906;Oocyst
8,194275866;-11,30448451;Ookinete
12,08885861;-6,624283461;Oocyst
11,71958734;-7,397398142;Oocyst
9,696000109;-10,79708972;Ookinete
11,88894845;-6,568195013;Oocyst
11,86785413;-8,935198931;Oocyst
11,29246903;-9,800213961;Oocyst
10,59194947;-10,34126201;Ookinete
11,90244485;-8,97481647;Oocyst
11,93613435;-6,257985739;Oocyst
10,9040146;-10,16433349;Oocyst
11,84759904;-8,333417086;Oocyst
11,94577123;-8,429877428;Oocyst
12,11606408;-6,219535021;Oocyst
9,660254488;-10,87336269;Ookinete
11,6463461;-7,477076678;Oocyst
11,90995217;-8,763383059;Oocyst
11,79921533;-9,194993166;Oocyst
10,12325574;-10,63393321;Ookinete
12,09727288;-6,795462279;Oocyst
11,73597718;-9,394980578;Oocyst
11,88879968;-6,227183966;Oocyst
7,004879484;-1,704219012;Liver
7,54818965;-2,337207941;Liver
7,637462626;1,54409072;Liver
3,059234867;6,994135233;Liver
7,452142248;-1,062892107;Liver
6,93906642;-2,642433314;Liver
8,061770449;-2,143792776;Liver
7,607200632;0,291056426;Liver
7,515758524;-0,180495052;Liver
7,27316905;-1,434902338;Liver
7,595034609;1,325467946;Liver
7,273409853;-0,112381486;Liver
7,623331556;-2,069685845;Liver
6,994639883;-2,770863203;Liver
7,525344381;1,611151906;Liver
7,615533838;0,004625531;Liver
7,505077849;-3,195639281;Liver
7,351747046;-2,855730681;Liver
7,558303366;-1,101110367;Liver
3,249975929;6,800508352;Liver
7,698184023;-2,141103892;Liver
7,96533824;-2,043910889;Liver
3,156913529;6,984045358;Liver
7,186133394;-1,48160067;Liver
6,901260862;-2,185704617;Liver
7,300886164;2,457157345;Liver
7,286342154;2,489315601;Liver
8,118846903;-2,219720988;Liver
7,516500006;-0,610835461;Liver
7,271723757;-2,638328223;Liver
7,324106226;-0,127763776;Liver
6,736392031;-2,481076388;Liver
7,277715216;0,086724253;Liver
7,136300097;-1,19539061;Liver
7,104115973;-2,400962977;Liver
6,949998865;-2,704929737;Liver
7,307903776;-1,28527513;Liver
1,926581631;7,129659029;Liver
7,262600432;2,533694716;Liver
7,577798376;1,730287822;Liver
7,295845041;-1,501516966;Liver
6,899038801;-2,254171996;Liver
2,358989964;7,199883314;Liver
7,592689047;-2,15440741;Liver
7,08541585;-0,756089715;Liver
7,175941;-1,242991356;Liver
7,197637568;0,12458113;Liver
7,785822878;-2,179418234;Liver
7,970985422;-2,009933619;Liver
7,864788542;-2,099691061;Liver
7,910862455;-1,902948527;Liver
7,591111193;-2,23212686;Liver
6,047322283;-3,007459788;Liver
7,76264144;-1,933661131;Liver
7,271985064;0,115980955;Liver
7,651959429;1,707892926;Liver
6,537261019;-2,706993489;Liver
7,274810324;0,077831777;Liver
7,690932284;-2,167872338;Liver
7,49275733;1,910484644;Liver
7,483158598;-1,656531004;Liver
7,415102492;-2,056051163;Liver
