Gene_IDs;Variable_1;Variable_2;Variable_3;Variable_4;Variable_5;Variable_6;Variable_7
Gene_88;0,65;1,12;4,36;5,37;3,16;9,34;2,38
Gene_89;3,82;0,25;4,92;3,21;0,79;2,02;0,32
Gene_90;5,07;0,06;2,26;1,86;0,1;0,43;0,68
Gene_91;6,57;0,1;3,79;3,64;0,11;1,03;0,54
Gene_92;5,68;0,15;2,88;3,35;0,32;3,06;0,54
Gene_93;4,74;0,35;1,61;1,49;0,39;3,06;1,9
Gene_94;4,94;0,09;3,53;4,4;1,17;3,8;1,99
Gene_95;3,27;0,03;2,39;4,26;0,16;1,33;0,34
Gene_96;3,97;0,03;4,94;6,4;1,26;5,43;0,5
Gene_97;5,45;0;4,7;6,94;0,21;2,6;0,47
Gene_98;0,83;0,02;1,72;1,07;0,16;3,87;6,56
Gene_99;7,36;0,31;4,52;5,17;0,3;2,6;2,34
Gene_100;6,29;1,43;2,78;6,12;2,07;2,33;5,1
Gene_101;2,69;0,17;2,09;2,62;0,71;1,9;0
Gene_102;7,05;0,62;5,92;7,89;2,79;3,7;3,78
Gene_103;4,52;0,08;1,48;1,19;2,48;4,31;0,3
Gene_104;1,9;0,13;1,53;1,18;0,17;2,7;0,68
Gene_105;3,56;3,28;3,44;4,45;3,58;3,45;1,9
Gene_106;3,84;2,18;3,24;2,35;0,83;1,64;1,11
Gene_107;0,83;1,72;3,34;0,47;0,72;2,87;3,48
Gene_108;2,88;0,1;4,68;2,08;2,82;1,8;2,56
Gene_109;0,13;0,02;1,7;2,09;3,16;6,55;2,17
Gene_110;4,64;0,09;3,76;4,72;2,75;3,09;3,33
Gene_111;2,75;0,06;0,63;1,58;0,1;0,84;0,07
Gene_112;5,95;1,36;4,74;4,02;0,46;1,46;0,78
Gene_113;6,79;0,44;4,07;3,63;0,71;5,42;2,78
Gene_114;4,64;1,34;4,1;8,38;6,94;6,66;6,35
Gene_115;4,19;0,02;4,03;0,82;0,1;1,14;0
Gene_116;5,15;0,18;3,65;3,47;0,1;0,89;0,41
Gene_117;9,69;0,57;7,92;6,45;0,44;3,7;0,79
Gene_118;5,61;0,06;4,82;5,08;2,52;3,62;0,82
Gene_119;1,45;0;1,57;2,21;1,27;1,93;0,02
Gene_120;2,39;0;4,96;5,33;0,21;1,63;0,89
Gene_121;5,79;0,2;5,28;5,54;0,19;2,51;3,49
Gene_122;5,44;0,13;4,73;7,06;0,72;4,68;0
Gene_123;3,72;0,68;2,47;5,09;1,13;4,63;0,39
Gene_124;0,06;0,36;0,1;0,14;0,07;6,8;0,09
Gene_125;0,82;0,11;3,16;2,83;2,95;7,99;0,01
Gene_126;8,21;4,8;5,74;7,45;3,89;4,29;0,52
Gene_127;4,61;5,97;5,69;5,37;1,62;7;2,38
Gene_128;5,52;0;3,41;3,67;1,12;3,15;0,31
Gene_129;0,2;0;4,38;4,03;1,29;0,09;0
Gene_130;3,84;0,02;0,74;2,6;2,06;2,01;0,79
Gene_131;5,21;2,51;5,26;5,13;4,93;8,59;0,38
Gene_132;1,81;0,01;0,95;1,11;1,36;0,97;0,02
Gene_133;1,22;0;0,31;0,36;0,78;3,58;0,08
Gene_134;0,26;0;0,03;0,16;0,14;7,52;0,49
Gene_135;4,64;0,03;2,33;0,55;0,2;6,27;0,42
Gene_136;3,26;0,07;3,47;1,74;5,93;1,32;0,26
Gene_137;3,3;1,41;2,15;1,95;3,7;0,67;1,07
Gene_138;5,4;1,01;2,1;1,3;3,65;2;1,62
Gene_139;6,7;0,1;6,24;3,68;0,57;5,57;1,01
Gene_140;5,84;1,05;3,73;4,53;2,98;5,35;2,78
Gene_141;1,84;0,03;1,75;2,97;0,48;2,63;0,13
Gene_142;1,56;0,02;0,96;0,51;3,75;1,1;0,08
Gene_143;4,4;0,15;4,67;5,5;0,87;3,27;1,19
Gene_144;3,69;1,23;2,36;3,99;2;2,65;0,72
Gene_145;2,97;2,25;1,09;1,5;3,58;1,47;0,61
Gene_146;4,59;0,55;3,08;3,03;1,09;1,43;0,17
Gene_147;1,18;0,71;4,73;5,92;3,78;3,27;2,66
Gene_148;0,42;0,08;1,98;1,12;6,13;0,74;1,1
Gene_149;2,16;1,45;4,76;1,97;3,45;3,41;0,12
Gene_150;4,67;3,61;3,32;2,57;2,54;2,29;0,42
Gene_151;1,54;2,3;3,05;3,23;3,42;0,3;0,43
Gene_152;2,14;0,01;2,04;5,7;3,51;0,6;0,84
Gene_153;0,13;0;0,09;0,19;0,3;0;0,25
Gene_154;1,83;0;0,67;2,07;0,76;0,86;0,09
Gene_155;0,62;0;0,03;0,66;2,33;0,07;0,11
Gene_156;0,06;0;0,09;0,04;0,01;0;0,03
Gene_157;0,54;0;0,1;1,21;0,86;0,04;0,11
Gene_158;1,36;0;0,08;0,11;0,34;0,17;0,06
Gene_159;0,83;0,06;0,46;3,18;4,71;1,02;0,65
Gene_160;0,17;0;0,32;0,88;0,42;0,04;0,11
Gene_161;4,51;0,18;1,18;3,85;2,12;5,07;0,3
Gene_162;0,19;0;0,71;0,12;0,06;0,05;0
Gene_163;1,14;0;0,06;0,45;0,04;0;0,16
Gene_164;0,03;0,01;0,02;0;0;0,1;0
Gene_165;0,73;0;0,1;0,77;0,1;0,1;0
Gene_166;3,8;0,6;0,99;0,68;0,1;0,64;0,2
Gene_167;0;0;0;0;0;0;0,3
Gene_168;1,45;0;0,54;0,09;0,05;0;0
Gene_169;0,8;0;1,74;4,98;6,14;0,96;0,71
Gene_170;0,15;0;0,3;2,2;5,14;0,33;0,5
Gene_171;2,83;0;3,98;7,73;2,26;4,41;0,58
Gene_172;0,09;0;0,09;0,12;0,06;0,05;0
Gene_173;0,05;0;0;0;0,04;0,02;0,03
Gene_174;0,02;0;0,03;0,7;0,04;0,3;0
Gene_175;3,24;0,03;0,28;8,33;3,9;0,39;0,52
Gene_176;9,28;0;3,83;12,51;11,44;5,53;7,84
Gene_177;3,55;0,06;0,04;0,19;0,14;1,33;0,19
Gene_178;3,56;0,09;2,06;2,11;0,05;1,61;0,5
Gene_179;3,86;0,01;2,26;3,29;0,25;6,14;0,63
Gene_180;5,71;0,13;2,97;2,34;0,5;6,64;0,05
Gene_181;2,03;0,03;0,2;0,47;0,05;0,6;0
Gene_182;3,89;0,07;1,6;1,71;0,18;1,52;0,43
Gene_183;3,78;0,02;2,51;2,32;0,65;3,42;1,91
Gene_184;4,3;0,34;3,41;5,14;1,17;1,84;0,66
Gene_185;1,73;0,74;3,29;4,78;0,5;3,06;5,69
Gene_186;5,53;0,03;2,01;0,56;0,01;1,83;0,18
Gene_187;0,55;0,59;1,04;1,01;1,07;0,47;8,14
Gene_188;3,44;0,41;1,03;0,85;0,57;0,55;0,36
Gene_189;6,76;2,87;2,14;2,54;2,22;3,8;1,33
